,gender,flag_phone_provided,flag_privacy,region,favorite_store,loyalty_type,loyatlty_status,tenure,age,TBS,Recency,Frequency,Monetary,customer_id,CHURN,CLASS
0,F,1.0,True,LAZIO,29,premium,1,483,26,104.66666666666667,6,4,301.44,106082,1,SILVER
1,M,1.0,True,SICILIA,1,standard,1,52,27,1.5,47,4,468.27,855635,1,SILVER
2,F,1.0,True,SICILIA,7,premium,1,380,29,47.666666666666664,1,4,537.32,68993,1,SILVER
3,M,1.0,True,NOT_PROVIDED,40,business standard,1,44,30,3.0,40,4,304.72,870315,1,SILVER
4,M,1.0,True,LAZIO,39,standard,1,257,32,85.33333333333333,0,4,222.19,48656,1,SILVER
5,M,1.0,True,LAZIO,33,premium,1,47,32,22.5,1,4,517.41,863824,0,SILVER
6,M,0.0,True,TOSCANA,47,standard,1,412,33,84.33333333333333,68,4,598.95,250007,1,SILVER
7,F,1.0,True,LAZIO,29,premium,1,62,34,13.666666666666666,20,4,309.48,841518,1,SILVER
8,M,1.0,True,VENETO,44,standard,1,36,35,8.333333333333334,6,4,243.4,883848,0,SILVER
9,F,1.0,True,LOMBARDIA,15,standard,1,409,35,105.0,66,4,421.88,256520,1,SILVER
10,M,1.0,True,VENETO,18,standard,1,415,35,110.66666666666667,10,4,261.09,104365,1,SILVER
11,F,1.0,True,VENETO,5,premium,1,21,35,8.0,10,4,511.91,907309,0,SILVER
12,M,1.0,True,FRIULI VENEZIA GIULIA,4,premium,1,147,35,49.5,47,4,800.63,727590,1,SILVER
13,M,1.0,True,CAMPANIA,35,business premium,1,63,35,18.0,7,4,271.16,839488,1,SILVER
14,F,0.0,True,VENETO,18,business standard,1,385,36,48.0,43,4,266.85,303405,1,SILVER
15,M,1.0,True,TOSCANA,47,premium,1,288,36,8.0,19,4,581.28,480694,0,SILVER
16,F,1.0,True,PIEMONTE,1,premium,1,349,36,95.0,58,4,368.56999999999994,76316,1,SILVER
17,F,1.0,True,LAZIO,29,premium,1,23,37,9.0,4,4,320.72,902513,0,SILVER
18,F,0.0,True,VENETO,44,premium,1,213,37,47.333333333333336,70,4,454.5400000000001,531230,1,SILVER
19,M,1.0,True,VENETO,18,business standard,1,29,37,7.5,4,4,417.80999999999995,893709,0,SILVER
20,F,1.0,True,EMILIA ROMAGNA,24,business premium,1,171,37,55.5,59,4,255.47000000000003,676301,1,SILVER
21,F,1.0,True,PUGLIA,26,standard,1,241,37,39.666666666666664,69,4,280.25,553980,1,SILVER
