,customer_id,Recency,Frequency,Monetary,R,F,M,RFM_score,Segment,CLASS
1,32,28,3,58.85,3,1,1,311,One-timer,COPPER
3,50,70,2,28.749999999999996,2,1,1,211,One-timer,TIN
4,76,53,2,14.6,2,1,1,211,One-timer,CHEAP
6,156,31,3,42.599999999999994,3,1,1,311,One-timer,TIN
7,161,30,2,190.79000000000002,3,1,1,311,One-timer,COPPER
9,196,71,2,22.87,2,1,1,211,One-timer,TIN
10,204,43,2,66.52000000000001,2,1,1,211,One-timer,COPPER
13,228,43,1,24.8,2,1,1,211,One-timer,TIN
15,241,57,3,17.55,2,1,1,211,One-timer,TIN
16,244,60,1,8.99,2,1,1,211,One-timer,CHEAP
19,298,7,1,5.3,3,1,1,311,One-timer,CHEAP
22,345,48,3,49.4,2,1,1,211,One-timer,TIN
31,497,13,3,597.9,3,1,2,312,One-timer,COPPER
32,520,58,1,0.2,2,1,1,211,One-timer,CHEAP
33,535,60,1,3.25,2,1,1,211,One-timer,CHEAP
34,550,34,1,136.85,3,1,1,311,One-timer,COPPER
35,552,39,3,217.91000000000003,2,1,1,211,One-timer,COPPER
37,599,22,2,27.14,3,1,1,311,One-timer,TIN
40,651,6,3,14.100000000000001,3,1,1,311,One-timer,CHEAP
42,687,24,2,333.66999999999996,3,1,1,311,One-timer,COPPER
45,735,1,2,1113.21,3,1,2,312,One-timer,COPPER
46,736,51,1,2.2,2,1,1,211,One-timer,CHEAP
51,774,59,3,22.13,2,1,1,211,One-timer,TIN
53,804,35,1,890.6299999999999,2,1,2,212,One-timer,COPPER
65,978,29,2,36.93,3,1,1,311,One-timer,TIN
69,1011,67,1,7.550000000000001,2,1,1,211,One-timer,CHEAP
76,1076,56,3,28.9,2,1,1,211,One-timer,TIN
81,1133,40,3,92.98000000000002,2,1,1,211,One-timer,COPPER
87,1200,13,2,34.87,3,1,1,311,One-timer,TIN
94,1257,36,1,5.99,2,1,1,211,One-timer,CHEAP
97,1336,11,1,1.95,3,1,1,311,One-timer,CHEAP
100,1367,12,1,108.02,3,1,1,311,One-timer,COPPER
105,1435,49,1,32.9,2,1,1,211,One-timer,TIN
109,1456,59,2,11.940000000000001,2,1,1,211,One-timer,CHEAP
121,1555,56,3,5.450000000000003,2,1,1,211,One-timer,CHEAP
122,1566,3,1,25.43,3,1,1,311,One-timer,TIN
123,1571,64,2,15.9,2,1,1,211,One-timer,CHEAP
129,1618,56,3,23.3,2,1,1,211,One-timer,TIN
130,1633,30,1,2.4,3,1,1,311,One-timer,CHEAP
136,1746,33,2,1201.1100000000001,3,1,2,312,One-timer,COPPER
141,1872,24,1,0.5,3,1,1,311,One-timer,CHEAP
144,1905,7,3,13.84,3,1,1,311,One-timer,CHEAP
147,1978,55,1,7.99,2,1,1,211,One-timer,CHEAP
148,1987,24,3,37.58,3,1,1,311,One-timer,TIN
150,2006,42,1,5.4,2,1,1,211,One-timer,CHEAP
151,2013,19,1,33.67,3,1,1,311,One-timer,TIN
153,2065,40,3,336.06,2,1,1,211,One-timer,COPPER
155,2116,13,1,5.99,3,1,1,311,One-timer,CHEAP
156,2119,5,3,22.89,3,1,1,311,One-timer,TIN
159,2190,45,2,48.79,2,1,1,211,One-timer,TIN
160,2191,28,3,58.78999999999999,3,1,1,311,One-timer,COPPER
165,2262,39,3,56.12000000000001,2,1,1,211,One-timer,TIN
170,2339,6,3,27.4,3,1,1,311,One-timer,TIN
172,2348,6,1,19.99,3,1,1,311,One-timer,TIN
175,2368,30,1,4.9,3,1,1,311,One-timer,CHEAP
180,2421,42,1,131.38,2,1,1,211,One-timer,COPPER
183,2455,16,2,178.85000000000002,3,1,1,311,One-timer,COPPER
191,2578,31,2,14.74,3,1,1,311,One-timer,CHEAP
198,2623,47,3,90.65,2,1,1,211,One-timer,COPPER
200,2666,22,3,35.3,3,1,1,311,One-timer,TIN
201,2695,20,2,43.35,3,1,1,311,One-timer,TIN
206,2744,73,1,4.99,2,1,1,211,One-timer,CHEAP
208,2748,52,1,1.5,2,1,1,211,One-timer,CHEAP
211,2777,39,1,18.48,2,1,1,211,One-timer,TIN
214,2811,7,1,38.97,3,1,1,311,One-timer,TIN
215,2812,12,3,21.660000000000004,3,1,1,311,One-timer,TIN
216,2818,41,2,433.21,2,1,1,211,One-timer,COPPER
220,2851,53,2,27.849999999999998,2,1,1,211,One-timer,TIN
