,product_group,confidence,support,lift
4642,"frozenset({36605450.0}),frozenset({36605443.0})",1.0,0.0010178117048346056,982.5
4643,"frozenset({36605443.0}),frozenset({36605450.0})",1.0,0.0010178117048346056,982.5
4650,"frozenset({36136373.0}),frozenset({36136303.0})",1.0,0.0010178117048346056,982.5
4651,"frozenset({36136303.0}),frozenset({36136373.0})",1.0,0.0010178117048346056,982.5
2746,"frozenset({36658573.0, 36658615.0}),frozenset({36658650.0})",0.8571428571428571,0.0010178117048346056,842.1428571428571
2740,"frozenset({36658650.0}),frozenset({36658615.0})",1.0,0.0010178117048346056,842.1428571428571
2747,"frozenset({36658650.0}),frozenset({36658573.0, 36658615.0})",1.0,0.0010178117048346056,842.1428571428571
4058,"frozenset({36657873.0}),frozenset({36657922.0})",1.0,0.0011874469889737065,842.1428571428571
2744,"frozenset({36658650.0, 36658573.0}),frozenset({36658615.0})",1.0,0.0010178117048346056,842.1428571428571
4059,"frozenset({36657922.0}),frozenset({36657873.0})",1.0,0.0011874469889737065,842.1428571428571
2749,"frozenset({36658615.0}),frozenset({36658650.0, 36658573.0})",0.8571428571428571,0.0010178117048346056,842.1428571428571
2741,"frozenset({36658615.0}),frozenset({36658650.0})",0.8571428571428571,0.0010178117048346056,842.1428571428571
2743,"frozenset({36658573.0}),frozenset({36658650.0})",0.75,0.0010178117048346056,736.875
2742,"frozenset({36658650.0}),frozenset({36658573.0})",1.0,0.0010178117048346056,736.875
2748,"frozenset({36658573.0}),frozenset({36658650.0, 36658615.0})",0.75,0.0010178117048346056,736.875
2738,"frozenset({36658573.0}),frozenset({36658615.0})",0.875,0.0011874469889737065,736.875
2739,"frozenset({36658615.0}),frozenset({36658573.0})",1.0,0.0011874469889737065,736.875
2745,"frozenset({36658650.0, 36658615.0}),frozenset({36658573.0})",1.0,0.0010178117048346056,736.875
4273,"frozenset({36484091.0}),frozenset({36484105.0})",1.0,0.0013570822731128074,736.875
4272,"frozenset({36484105.0}),frozenset({36484091.0})",1.0,0.0013570822731128074,736.875
4702,"frozenset({34689060.0}),frozenset({34689095.0})",1.0,0.0011874469889737065,736.875
4703,"frozenset({34689095.0}),frozenset({34689060.0})",0.875,0.0011874469889737065,736.875
4321,"frozenset({35074354.0}),frozenset({35074081.0, 35095970.0})",0.8,0.0013570822731128074,589.5
4316,"frozenset({35074081.0, 35095970.0}),frozenset({35074354.0})",1.0,0.0013570822731128074,589.5
1086,"frozenset({31618321.0, 32988382.0, 31618405.0, 34129942.0}),frozenset({31618363.0, 31618300.0})",0.6,0.0010178117048346056,589.5
