,product_group,confidence,support,lift
3669,"frozenset({36657901.0}),frozenset({36657866.0})",0.9444444444444445,0.001124561751670305,839.8333333333334
3668,"frozenset({36657866.0}),frozenset({36657901.0})",1.0,0.001124561751670305,839.8333333333334
1833,"frozenset({35074354.0}),frozenset({35074081.0})",0.9444444444444445,0.001124561751670305,648.9621212121212
1832,"frozenset({35074081.0}),frozenset({35074354.0})",0.7727272727272728,0.001124561751670305,648.9621212121212
1829,"frozenset({36484091.0}),frozenset({36484105.0})",1.0,0.0013230138254944764,629.875
1828,"frozenset({36484105.0}),frozenset({36484091.0})",0.8333333333333333,0.0013230138254944764,629.8749999999999
1181,"frozenset({32990853.0}),frozenset({32990860.0})",0.9411764705882352,0.001058411060395581,618.5984654731458
1180,"frozenset({32990860.0}),frozenset({32990853.0})",0.6956521739130435,0.001058411060395581,618.5984654731457
3651,"frozenset({36147363.0}),frozenset({36147440.0})",0.8095238095238096,0.001124561751670305,611.8785714285715
3650,"frozenset({36147440.0}),frozenset({36147363.0})",0.8500000000000001,0.001124561751670305,611.8785714285715
3649,"frozenset({36147503.0}),frozenset({36147363.0})",0.8095238095238096,0.001124561751670305,582.7414965986396
3648,"frozenset({36147363.0}),frozenset({36147503.0})",0.8095238095238096,0.001124561751670305,582.7414965986396
2678,"frozenset({36657873.0}),frozenset({36657922.0})",1.0,0.0017199179731428194,581.4230769230769
2679,"frozenset({36657922.0}),frozenset({36657873.0})",1.0,0.0017199179731428194,581.4230769230769
2712,"frozenset({81253733.0}),frozenset({81253734.0})",0.761904761904762,0.001058411060395581,575.8857142857144
3653,"frozenset({36147503.0}),frozenset({36147440.0})",0.761904761904762,0.001058411060395581,575.8857142857144
3652,"frozenset({36147440.0}),frozenset({36147503.0})",0.7999999999999999,0.001058411060395581,575.8857142857142
2713,"frozenset({81253734.0}),frozenset({81253733.0})",0.7999999999999999,0.001058411060395581,575.8857142857142
3405,"frozenset({35745612.0}),frozenset({35745584.0})",0.9090909090909091,0.0013230138254944764,572.6136363636364
3404,"frozenset({35745584.0}),frozenset({35745612.0})",0.8333333333333333,0.0013230138254944764,572.6136363636363
2707,"frozenset({35984452.0}),frozenset({35984396.0})",0.888888888888889,0.0015876165905933718,537.4933333333333
2706,"frozenset({35984396.0}),frozenset({35984452.0})",0.9600000000000001,0.0015876165905933718,537.4933333333333
3671,"frozenset({30490404.0}),frozenset({34129984.0})",0.5925925925925926,0.001058411060395581,497.679012345679
3670,"frozenset({34129984.0}),frozenset({30490404.0})",0.8888888888888888,0.001058411060395581,497.679012345679
2046,"frozenset({36298353.0, 36298206.0}),frozenset({36298122.0, 36298381.0})",0.923076923076923,0.0015876165905933718,450.1339950372208
2047,"frozenset({36298122.0, 36298381.0}),frozenset({36298353.0, 36298206.0})",0.7741935483870968,0.0015876165905933718,450.1339950372208
1600,"frozenset({33088622.0}),frozenset({33088615.0})",0.676470588235294,0.0015214658993186478,409.0482352941176
1601,"frozenset({33088615.0}),frozenset({33088622.0})",0.9199999999999999,0.0015214658993186478,409.0482352941176
2044,"frozenset({36298353.0, 36298122.0}),frozenset({36298381.0, 36298206.0})",0.7272727272727274,0.0015876165905933718,407.1919191919193
2049,"frozenset({36298381.0, 36298206.0}),frozenset({36298353.0, 36298122.0})",0.888888888888889,0.0015876165905933718,407.1919191919192
