,product_group,confidence,support,lift
316,"frozenset({35880866.0, 35881293.0}),frozenset({36127511.0})",1.0,0.07317073170731707,10.25
439,"frozenset({32842551.0}),frozenset({32079082.0})",1.0,0.024390243902439025,41.0
422,"frozenset({35801556.0}),frozenset({34266421.0})",1.0,0.024390243902439025,20.5
424,"frozenset({32079082.0}),frozenset({32078935.0})",1.0,0.024390243902439025,41.0
425,"frozenset({32078935.0}),frozenset({32079082.0})",1.0,0.024390243902439025,41.0
426,"frozenset({32079082.0}),frozenset({32078830.0})",1.0,0.024390243902439025,41.0
427,"frozenset({32078830.0}),frozenset({32079082.0})",1.0,0.024390243902439025,41.0
428,"frozenset({32078830.0}),frozenset({32078935.0})",1.0,0.024390243902439025,41.0
429,"frozenset({32078935.0}),frozenset({32078830.0})",1.0,0.024390243902439025,41.0
430,"frozenset({32079082.0, 32078830.0}),frozenset({32078935.0})",1.0,0.024390243902439025,41.0
431,"frozenset({32079082.0, 32078935.0}),frozenset({32078830.0})",1.0,0.024390243902439025,41.0
432,"frozenset({32078830.0, 32078935.0}),frozenset({32079082.0})",1.0,0.024390243902439025,41.0
433,"frozenset({32079082.0}),frozenset({32078830.0, 32078935.0})",1.0,0.024390243902439025,41.0
434,"frozenset({32078830.0}),frozenset({32079082.0, 32078935.0})",1.0,0.024390243902439025,41.0
435,"frozenset({32078935.0}),frozenset({32079082.0, 32078830.0})",1.0,0.024390243902439025,41.0
436,"frozenset({32078830.0}),frozenset({32842551.0})",1.0,0.024390243902439025,41.0
437,"frozenset({32842551.0}),frozenset({32078830.0})",1.0,0.024390243902439025,41.0
421,"frozenset({33995213.0}),frozenset({34289171.0})",1.0,0.024390243902439025,41.0
420,"frozenset({34289171.0}),frozenset({33995213.0})",1.0,0.024390243902439025,41.0
419,"frozenset({35567966.0}),frozenset({36590085.0})",1.0,0.024390243902439025,41.0
409,"frozenset({36077076.0}),frozenset({33700716.0})",1.0,0.024390243902439025,4.1000000000000005
