,product_group,confidence,support,lift
6329,"frozenset({31047520.0, 31047401.0, 31047450.0}),frozenset({31047492.0, 31047436.0, 31047415.0})",1.0,0.0010826771653543307,923.6363636363636
6187,"frozenset({31047520.0, 31047401.0, 31047450.0, 31047415.0}),frozenset({31047436.0, 31047485.0})",1.0,0.0010826771653543307,846.6666666666666
6180,"frozenset({31047520.0, 31047401.0, 31047436.0, 31047450.0, 31047485.0}),frozenset({31047415.0})",1.0,0.0010826771653543307,260.5128205128205
6181,"frozenset({31047520.0, 31047401.0, 31047415.0, 31047450.0, 31047485.0}),frozenset({31047436.0})",1.0,0.0010826771653543307,508.0
6182,"frozenset({31047520.0, 31047436.0, 31047415.0, 31047450.0, 31047485.0}),frozenset({31047401.0})",1.0,0.0010826771653543307,461.8181818181818
6183,"frozenset({31047401.0, 31047436.0, 31047415.0, 31047450.0, 31047485.0}),frozenset({31047520.0})",1.0,0.0010826771653543307,290.2857142857143
6184,"frozenset({31047520.0, 31047401.0, 31047436.0, 31047415.0}),frozenset({31047450.0, 31047485.0})",1.0,0.0010826771653543307,338.6666666666667
6185,"frozenset({31047520.0, 31047401.0, 31047450.0, 31047436.0}),frozenset({31047485.0, 31047415.0})",1.0,0.0010826771653543307,298.8235294117647
6186,"frozenset({31047520.0, 31047401.0, 31047436.0, 31047485.0}),frozenset({31047450.0, 31047415.0})",1.0,0.0010826771653543307,441.7391304347826
4982,"frozenset({31047520.0, 31047450.0, 31047492.0, 35661703.0}),frozenset({31047464.0, 31047436.0})",1.0,0.0010826771653543307,846.6666666666666
6178,"frozenset({31047520.0, 31047401.0, 31047436.0, 31047415.0, 31047450.0}),frozenset({31047485.0})",1.0,0.0010826771653543307,131.94805194805195
6189,"frozenset({31047520.0, 31047401.0, 31047450.0, 31047485.0}),frozenset({31047436.0, 31047415.0})",1.0,0.0010826771653543307,923.6363636363636
6190,"frozenset({31047520.0, 31047450.0, 31047436.0, 31047415.0}),frozenset({31047401.0, 31047485.0})",1.0,0.0010826771653543307,597.6470588235294
6191,"frozenset({31047520.0, 31047436.0, 31047485.0, 31047415.0}),frozenset({31047401.0, 31047450.0})",1.0,0.0010826771653543307,781.5384615384615
6192,"frozenset({31047520.0, 31047450.0, 31047436.0, 31047485.0}),frozenset({31047401.0, 31047415.0})",1.0,0.0010826771653543307,597.6470588235294
4981,"frozenset({31047520.0, 31047492.0, 31047436.0, 35661703.0}),frozenset({31047464.0, 31047450.0})",1.0,0.0010826771653543307,338.6666666666667
6194,"frozenset({31047401.0, 31047450.0, 31047436.0, 31047415.0}),frozenset({31047520.0, 31047485.0})",1.0,0.0010826771653543307,406.4
858,"frozenset({34498282.0, 31047485.0}),frozenset({31047520.0, 31047492.0})",1.0,0.0010826771653543307,406.4
6179,"frozenset({31047520.0, 31047401.0, 31047436.0, 31047415.0, 31047485.0}),frozenset({31047450.0})",1.0,0.0010826771653543307,282.22222222222223
4983,"frozenset({31047520.0, 31047464.0, 31047492.0, 31047436.0}),frozenset({31047450.0, 35661703.0})",1.0,0.0010826771653543307,923.6363636363636
6195,"frozenset({31047401.0, 31047436.0, 31047485.0, 31047415.0}),frozenset({31047520.0, 31047450.0})",1.0,0.0010826771653543307,534.7368421052631
