,Unnamed: 0.1,Unnamed: 0,order_id,customer_id,store_id,product_id,direction,gross_price,price_reduction,perc_price_reduction,purchase_datetime,TBS,churn
20,127,137,54f1e18cc8825f7d2f40d0eafc833fe0,76,9,35411474,1,4.49,0.0,0.0,2023-03-08,295.0,1.0
27,156,167,53f316d307ea464b480692428a2506f0,156,9,34677580,1,4.0,0.0,0.0,2023-03-30,126.0,1.0
30,172,183,de994a6f762f84eea10762e1d779077d,194,49,32831085,1,9.9,0.0,0.0,2023-04-23,268.0,1.0
34,196,207,5d512edc122a912ea844a184490d5c3d,198,9,33929175,1,2.85,0.0,0.0,2022-10-25,109.0,1.0
35,202,213,e61ead1e60a0be74f9bafafb45fd2a55,204,28,48091281,1,8.97,0.0,0.0,2023-03-18,195.0,1.0
53,268,280,a941359f03a43ad9f8f75c0ab36da184,241,28,33323115,1,3.25,0.0,0.0,2023-03-04,160.0,1.0
70,343,358,c3b81e7b4b2d8593ff71199c6a18d09d,292,28,35573356,1,28.2,0.0,0.0,2022-12-05,143.0,1.0
82,423,1638,16e7d168dd0d140b7a2951d0f61193d9,345,40,36542415,1,1.7,0.0,0.0,2023-03-08,232.0,1.0
89,440,1656,4d2230e25f3a70f3059f526f84e86f19,375,17,31618321,1,7.95,0.0,0.0,2022-12-30,224.0,1.0
106,502,1718,8aa7566d33a37e467c7450f73af7d1a5,438,40,33700716,1,0.2,0.0,0.0,2023-02-03,161.0,1.0
113,522,1738,8db3b95eb45d7718ec1c2971daf7ac82,470,18,33700716,1,0.2,0.0,0.0,2022-11-21,156.0,1.0
121,550,1766,c93e99a8cce6f1e5d6a1d9bc5c9ffc0c,481,43,33815845,1,11.0,0.0,0.0,2023-04-03,141.0,1.0
129,565,1783,b915c0d7758c4b332c62b59e49a71a92,497,9,32101741,1,4.99,0.0,0.0,2023-02-15,225.0,1.0
148,625,1846,b886fbb77eb4eb2104ff940ca9d2f095,603,46,35649705,1,5.55,0.65,11.711711711711713,2022-10-22,171.0,1.0
174,716,2105,455cc3ce3955b9db760f22b302865421,687,31,35895482,1,19.98,0.0,0.0,2023-04-06,132.0,1.0
190,766,2155,ecc84015b1f0a937adf84e122d8507f7,740,31,34067334,1,1.99,0.0,0.0,2022-12-07,174.0,1.0
194,772,2161,cddaf128ed9201f767ee10a751e0ca53,756,45,32450915,1,9.9,0.0,0.0,2023-01-02,149.0,1.0
195,775,2164,6f3475b8fb41a3f23185c39e60a43ba2,756,45,81259470,1,2.99,0.0,0.0,2023-04-24,112.0,1.0
196,779,2168,e3656ebc381c5f1e06c494af80a17043,760,21,81274742,1,52.9,0.1,0.1890359168241966,2023-01-07,168.0,1.0
201,791,2180,6343c91c36a6ea86024a05dc9cb1b9b9,774,45,82042962,1,2.75,0.0,0.0,2023-03-02,153.0,1.0
204,803,2192,3a57d2438e0d680939efa07eb8157c4b,794,45,35798315,1,7.99,0.0,0.0,2022-12-06,139.0,1.0
207,822,2211,78aaef8e24068ae87d3d20aef994ceb7,819,2,36664502,1,15.9,1.0,6.289308176100629,2022-10-27,127.0,1.0
209,827,2216,015a7653c3e2ee8d57c99b87bd2e9fff,819,2,35439124,1,4.25,0.0,0.0,2023-04-20,111.0,1.0
215,849,2239,80afccbe14128538ba1c66f8ce022b2e,840,44,33700716,1,0.2,0.0,0.0,2022-09-22,132.0,1.0
219,865,2255,8a9b4aca26d47552d2dd516133008be7,865,9,33700716,1,0.2,0.0,0.0,2023-02-12,207.0,1.0
236,905,2295,1dbb8e023897ece0d298261b5dd70e32,883,26,34266470,1,5.98,0.0,0.0,2022-12-29,113.0,1.0
291,1128,2531,c94aebbf80dab43790d262fd1529397a,983,21,36216355,1,7.9,0.0,0.0,2023-04-02,144.0,1.0
305,1174,2577,b9ba886d5f0e47d2ae70a0030421a6d1,992,21,32388923,1,2.05,0.0,0.0,2022-09-16,121.0,1.0
319,1214,2621,4fd2ee5f9f8a9a752266fd62cb5a92ac,1007,2,35065373,1,32.14,0.0,0.0,2022-12-21,161.0,1.0
339,1271,2679,2e12518d6e49011887d7d105214b6834,1042,21,81274743,1,24.45,0.05,0.2044989775051125,2023-01-23,109.0,1.0
357,1361,2772,68b972edb9bebda074875efbeb656152,1071,21,35417704,1,1.95,0.19,9.743589743589745,2023-03-13,144.0,1.0
388,1468,2880,2eb1ce156ec1100e070e3048f1c6c6c9,1089,46,32587870,1,14.99,0.0,0.0,2023-03-11,201.0,1.0
396,1499,2911,af958603f150785f63805b6f38c99cd6,1104,49,33700716,1,0.2,0.02,10.0,2022-12-19,111.0,1.0
401,1530,2942,dc4ce0f253c27be159d484deea761630,1119,16,36237691,1,11.99,0.0,0.0,2022-11-29,202.0,1.0
405,1543,2955,9b33fdda39e0c25862e40c39f5b3edcb,1137,26,34620656,1,1.85,0.0,0.0,2023-01-30,118.0,1.0
425,1614,3027,4ac4b53906e727a254480350c8deaf68,1181,43,35861112,1,5.98,0.0,0.0,2023-01-27,112.0,1.0
438,1653,3066,de43b76107369b67d8e8affc52f33b52,1205,49,32882024,1,1.0,0.0,0.0,2023-03-11,197.0,1.0
452,1745,3159,2b6b98083c1f4c937913edc5c4a48fd7,1220,31,35609252,1,3.2,0.0,0.0,2022-10-19,135.0,1.0
522,2002,3422,0082278df16866b4c5c3463d82eeb23a,1360,45,33421675,1,2.6,0.0,0.0,2022-10-17,133.0,1.0
534,2032,3452,40cffba71192f631e5a651c7de901e42,1376,45,36128162,1,4.98,0.0,0.0,2023-01-14,110.0,1.0
542,2072,3492,3ef65e7cafef995fab94e910920ed5fd,1411,10,35944090,1,2.75,0.0,0.0,2023-01-07,151.0,1.0
554,2114,3534,fbf97eb0bdf90da33448a88458009841,1428,18,33700716,1,0.2,0.0,0.0,2023-04-29,200.0,1.0
558,2138,3558,c72046b8c05b23ee27dcc82825f5657d,1441,17,33120913,1,5.6,0.0,0.0,2023-02-23,178.0,1.0
585,2250,3677,349f1f8bd170c8faf8602b9b16283f4e,1489,17,33817091,1,0.5,0.0,0.0,2023-04-29,143.0,1.0
593,2281,3709,7d7d13515772b1333795cf0cac25f651,1506,17,32152792,1,7.7,0.0,0.0,2022-12-12,151.0,1.0
606,2321,3749,23454cced45b2ff0521c35889ad2cf34,1513,17,35723926,1,7.9,0.0,0.0,2022-11-29,121.0,1.0
623,2376,3809,8d3b01885c04c032f62a65faca30f102,1532,17,33700716,1,0.2,0.0,0.0,2022-09-04,113.0,1.0
625,2378,3811,79221be52f63586375c3f86aa4be448c,1532,32,35616784,1,14.97,0.0,0.0,2023-03-19,117.0,1.0
628,2383,3816,bccd21e102c5c1ccb5d58cbcb7856ae4,1534,10,34292482,1,3.25,0.0,0.0,2023-01-06,133.0,1.0
680,2530,3963,0b819afaaa26e51f03f8bf4f5552efbf,1651,32,33700716,1,0.2,0.0,0.0,2023-04-19,153.0,1.0
684,2550,3983,1a08740dbe41f021723a968a85a67751,1682,34,35874006,1,0.72,0.0,0.0,2022-12-10,163.0,1.0
691,2580,4013,8d8d1200a9f7739f89fa9109509da20a,1692,30,33817091,1,0.5,0.0,0.0,2023-01-17,110.0,1.0
722,2748,4199,558b23bef53b31fbbba7b91e69215b06,1794,32,33700716,1,0.2,0.0,0.0,2023-01-25,136.0,1.0
753,2880,4331,457d0939b468e0817f211f19b621b565,1894,17,33700716,1,0.2,0.0,0.0,2022-10-30,127.0,1.0
783,3064,4515,2dc4c3a92afb66790b5a7eb9b55461cc,1986,30,35166656,1,6.4,1.5,23.4375,2022-12-28,112.0,1.0
802,3162,4621,4add6e56c6ef757a679c07080729070a,2105,46,36214122,1,1.0,0.0,0.0,2023-04-19,249.0,1.0
